Código,Região,UF,nome_meso,nome_micro,Município,IFDM,Educação,Emprego e Renda,Saúde,desenvolvimento
130270,Norte,AM,Sul Amazonense,Madeira,MANICORÉ,0.5312868276706229,0.6267448095982238,0.3919365239944327,0.5751791494192121,Regular
130280,Norte,AM,Norte Amazonense,Japurá,MARAÃ,0.4250293036217238,0.5321032068824114,0.2468629046393011,0.4961217993434587,Regular
130290,Norte,AM,Centro Amazonense,Parintins,MAUÉS,0.4734224189802501,0.5911046835219989,0.4190243976460691,0.4101381757726824,Regular
130300,Norte,AM,Centro Amazonense,Parintins,NHAMUNDÁ,0.5071722568442028,0.7053823834283948,0.2616445131902626,0.5544898739139508,Regular
130310,Norte,AM,Centro Amazonense,Itacoatiara,NOVA OLINDA DO NORTE,0.4376785457726808,0.5869926129783748,0.2394618564071578,0.4865811679325101,Regular
130320,Norte,AM,Norte Amazonense,Rio Negro,NOVO AIRÃO,0.5777663236128847,0.6940980240128616,0.3876718121936205,0.6515291346321722,Regular
130330,Norte,AM,Sul Amazonense,Madeira,NOVO ARIPUANÃ,0.4488171278445323,0.6603750692404422,0.3228075527826184,0.3632687615105364,Regular
130340,Norte,AM,Centro Amazonense,Parintins,PARINTINS,0.6426048951636104,0.7587613124603818,0.4424314267338724,0.7266219462965771,Moderado
130350,Norte,AM,Sul Amazonense,Boca do Acre,PAUINI,0.5002602247807061,0.4339948914630787,0.4467788861541357,0.6200068967249039,Regular
130353,Norte,AM,Centro Amazonense,Rio Preto da Eva,PRESIDENTE FIGUEIREDO,0.6764986962103974,0.6853440104560735,0.6540239794867022,0.6901280986884163,Moderado
130356,Norte,AM,Centro Amazonense,Rio Preto da Eva,RIO PRETO DA EVA,0.5302279461871463,0.59710673034603,0.3933378854452079,0.6002392227702009,Regular
130360,Norte,AM,Norte Amazonense,Rio Negro,SANTA ISABEL DO RIO NEGRO,0.3972992252105733,0.563467195638841,0.2329395504529333,0.3954909295399456,Baixo
130370,Norte,AM,Sudoeste Amazonense,Alto Solimões,SANTO ANTÔNIO DO IÇÁ,0.479848077888526,0.6154943557341791,0.2802281869106298,0.5438216910207692,Regular
130380,Norte,AM,Norte Amazonense,Rio Negro,SÃO GABRIEL DA CACHOEIRA,0.42425097936534,0.6100848038857718,0.276619229679429,0.3860489045308192,Regular
130390,Norte,AM,Sudoeste Amazonense,Alto Solimões,SÃO PAULO DE OLIVENÇA,0.4551596625704413,0.5582759957107203,0.3277402845090333,0.4794627074915702,Regular
130395,Norte,AM,Centro Amazonense,Parintins,SÃO SEBASTIÃO DO UATUMÃ,0.4274710017964315,0.5976226280990333,0.2230365918948758,0.4617537853953854,Regular
130400,Norte,AM,Centro Amazonense,Itacoatiara,SILVES,0.4550437970731508,0.6821878337158351,0.2281864304395174,0.4547571270640998,Regular
130406,Norte,AM,Sudoeste Amazonense,Alto Solimões,TABATINGA,0.5930470364506711,0.639539669728192,0.4512679460519493,0.6883334935718722,Regular
130410,Norte,AM,Sul Amazonense,Purus,TAPAUÁ,0.0,0.5928322855894674,0.0,0.551492152267337,Baixo
130420,Norte,AM,Centro Amazonense,Tefé,TEFÉ,0.5329424850897116,0.6530928875046522,0.290349693761912,0.6553848740025708,Regular
130423,Norte,AM,Sudoeste Amazonense,Alto Solimões,TONANTINS,0.4817829756161913,0.5823927327387721,0.3235408018135733,0.5394153922962288,Regular
130426,Norte,AM,Centro Amazonense,Tefé,UARINI,0.4389249792354868,0.4304038755322243,0.222966393160925,0.6634046690133113,Regular
130430,Norte,AM,Centro Amazonense,Parintins,URUCARÁ,0.4536512960719072,0.6590831343251207,0.2153258899820414,0.4865448639085597,Regular
130440,Norte,AM,Centro Amazonense,Itacoatiara,URUCURITUBA,0.5112194336150849,0.6147192789183454,0.3537123733326151,0.5652266485942945,Regular
